,rep1_average,rep2_average,rep1_average_indel,rep2_average_indel,average_between_bio_replicates,average_indel_between_bio_replicates,library_editing_rates,PRIDICT_Score,locus
01libbestpeg,2.3121566084663048,1.6921184386258001,-0.3369121505251869,-1.292186861054453,2.0021375235460526,0.0,,88.09248208999634,01
01libendopeg,7.3338426279602755,8.028046743011714,-2.2213450858917856,-2.5651150697607124,7.680944685485995,0.0,77.06539299,81.57200813293457,01
01libworstpeg,2.4203069657615113,2.3309564887697283,-0.615145262553929,-1.4649453317859522,2.3756317272656196,0.0,,53.17238569259644,01
03libbestpeg,0.7327160295207684,0.7383057333317753,0.18509933853314603,-0.40999233048161976,0.7355108814262719,0.0,,83.58119130134583,03
03libendopeg,8.831694971288385,4.293574702956335,2.1913865513108215,1.605665475689483,6.56263483712236,1.8985260135001523,8.54108873,83.5620641708374,03
03libworstpeg,6.4180359136751175,3.958169407030544,7.2956919229519865,5.189640767607877,5.188102660352831,6.242666345279932,,66.84687733650208,03
05libbestpeg,0.1319341745468929,0.16793013146336558,-0.7032971907454216,0.5216606626262981,0.14993215300512924,0.0,,5.385057628154755,05
05libendopeg,0.09355133044713121,0.06685067870145049,-0.5879635801774642,0.13986854011972585,0.08020100457429086,0.0,1.173419639,4.185961931943893,05
05libworstpeg,0.05590131140070178,0.01216379799856636,-0.23840903874859384,0.04629250170540134,0.03403255469963407,0.0,,4.5914176851511,05
06libbestpeg,0.04655155591540956,0.03894393784982178,-1.4186442609044403,-0.8079009797507015,0.04274774688261567,0.0,,3.44480574131012,06
06libendopeg,0.07590045622626986,0.04464910476989149,-0.2764713825738607,-0.27201769064827885,0.060274780498080674,0.0,28.85802783,4.63360883295536,06
06libworstpeg,0.6769675116170835,0.6988383034881802,-0.0826980196648674,0.027707836790915305,0.6879029075526318,0.0,,2.7427585795521736,06
09libbestpeg,4.8866000865759425,4.363133145004751,-0.8682286662615819,-0.27429657489825554,4.624866615790347,0.0,,86.75957322120667,09
09libendopeg,2.3431479090619183,2.0922747559323636,-0.06418757830834929,0.17293070390537432,2.217711332497141,0.05437156279851252,48.83153598,84.99295711517334,09
09libworstpeg,0.3598439586072869,0.3591575705578026,-0.49283175109707233,-0.4054213310653809,0.35950076458254476,0.0,,69.82547640800476,09
